,pop,mom_code,Plant_tag_no,lon,lat,map,MeanAnnualTemp,alt,raincon,frost,daysraindry3mon,janmaxt,julmint,Wet_leaf_Mass_g_2012,Dry_leaf_Mass_g_2012,Thickness_mm_2012,Leaf_Density_2012,Stem_Diameter_mm_2012,stem_color_code_2012,Height_cm_2012,leaf_water_content_2012,leaf_area_2012,leaf_length_2012,leaf_width_2012,SLA_2012,LWR_2012,Wet_leaf_Mass_g_2013,Dry_leaf_Mass_g_2013,leaf_water_content_2013,Stem_Diameter_mm_2013,stem_color_code_2013,Height_cm_2013,num_branches_2013,Leaf_area_2013,Leaf_length_2013,Leaf_width_2013,LengthWidthRatio_2013,LMA_2013,SLA_2013,stomatal_count_2013,stomata_per_mm2_2013,views_counted_2013,guard_cell_size_2013,pore_index_2013,PC1.2013,PC2.2013,t3.2013,B1.2013,S5.2013,H4.2013,mds1,mds2
32,LOE,LOE_45,58,25.0423,-33.85452,580,18.2,84,5,10,9.3,28.9,5.6,0.046,0.022,0.317,25,4.25,4,14,0.52174,1.6708,6.3093,0.4599,75.945,13.7189,0.191,0.091,0.52356,10.94,2,60,2,4.167,9.847,0.672,14.6533,0.021838,45.791,10,55.55555556,3,0.05,0.138888889,1.927383297,1.863145535,-3.161589544,5733.299639,0.246299287,0.437029364,,
33,MGU,MGU_17,816,20.10137,-33.7839,294,16,345,32,62,5.6,28.2,3.4,0.096,0.039,0.414,NA,3.9,2,19,0.59375,1.90617,7.7753,0.2799,48.876,27.7788,0.24,0.099,0.5875,11.51,2,87,4,4.348,10.08,0.778,12.9563,0.022769,43.919,8.666666667,48.14814815,3,0.059666667,0.171412757,NA,NA,NA,NA,NA,NA,,
34,MGU,MGU_1,156,20.10137,-33.7839,294,16,345,32,62,5.6,28.2,3.4,0.077,0.025,0.511,NA,3.38,0,16,0.67532,2.01895,6.8656,0.4307,80.758,15.9406,0.121,0.049,0.59504,5.77,0,45,2,2.662,8.658,0.439,19.7221,0.018407,54.327,11.33333333,62.96296296,3,0.054666667,0.188161317,2.116917844,3.082274766,-7.042626159,5548.088381,0.2769843,0.286191547,,
35,POT,POT_26,160,20.60545,-34.41555,409,17.3,150,18,13,6.9,28.5,6.3,0.082,0.03,0.508,NA,3.78,3,19,0.63415,1.85256,5.8492,0.5074,61.752,11.5278,0.252,0.073,0.71032,8.17,2,59,2,4.129,9.249,0.786,11.7672,0.01768,56.562,10.33333333,57.40740741,3,0.069333333,0.275963786,1.331880455,-1.920218953,6.762242722,2866.813916,0.418677129,0.810901431,,
36,POT,POT_44,466,20.60545,-34.41555,409,17.3,150,18,13,6.9,28.5,6.3,0.087,0.033,0.485,NA,4.63,4,29,0.62069,1.88741,6.1376,0.4814,57.194,12.7495,0.282,0.122,0.56738,12.43,2,100,3,5.621,9.771,0.987,9.8997,0.021704,46.074,9.5,52.77777778,6,0.066333333,0.232228086,4.045356433,-2.342738622,2.968443747,1982.59351,0.425579429,0.917433705,,
37,RIV,RIV_21,119,18.55111,-33.51604,544,17.2,152,52,9,4.3,29.5,5.9,0.095,0.044,0.434,NA,4.31,3,27,0.53684,1.95576,5.2382,0.5867,44.449,8.9282,0.142,0.069,0.51408,8.02,3,59,3,2.444,6.576,0.632,10.4051,0.028232,35.42,10.66666667,59.25925926,3,0.057,0.192533333,-2.924723559,-1.27746379,8.06656287,4045.560208,0.464488454,0.913697187,,
38,RIV,RIV_2,311,18.55111,-33.51604,544,17.2,152,52,9,4.3,29.5,5.9,0.087,0.026,0.481,NA,3.99,4,18,0.70115,2.06124,4.4209,0.7135,79.278,6.1961,0.12,0.043,0.64167,7.17,3,49,2,2.562,6.473,0.607,10.6639,0.016784,59.581,9.333333333,51.85185185,3,0.056666667,0.166502058,1.470115008,-2.763702321,7.134389465,2920.41641,0.411893968,1.012727266,,
39,RIV,RIV_40,728,18.55111,-33.51604,544,17.2,152,52,9,4.3,29.5,5.9,0.101,0.034,0.405,NA,3.42,4,28,0.66337,2.5015,5.846,0.6081,73.574,9.6136,0.146,0.058,0.60274,8.21,3,73,3,3.552,7.545,0.782,9.6483,0.016329,61.241,10,55.55555556,3,0.062333333,0.215858025,NA,NA,NA,NA,NA,NA,,
40,RND,RND_1,765,19.99314,-34.10228,425,16.7,335,29,51,7.3,28.1,5.5,0.143,0.056,0.53,NA,6.02,2,24,0.60839,2.83861,7.0244,0.6023,50.689,11.6626,0.171,0.075,0.5614,10.19,2,80,3,4.039,9.525,0.674,14.132,0.018569,53.853,10.66666667,59.25925926,3,0.058666667,0.203957202,NA,NA,NA,NA,NA,NA,,
41,SWA,SWA_1,266,22.04591,-33.34953,744,13.7,1509,5,163,3.5,25.8,-0.1,0.057,0.018,0.424,NA,2.82,2,13,0.68421,1.32632,4.8144,0.4874,73.684,9.8777,0.143,0.059,0.58741,7.71,1,57,2,3.256,7.725,0.565,13.6726,0.01812,55.186,6.666666667,37.03703704,3,0.065666667,0.159707819,-6.344283886,0.973507996,6.65917993,5837.675852,0.433314995,0.818080012,,
42,SWA,SWA_20,710,22.04591,-33.34953,744,13.7,1509,5,163,3.5,25.8,-0.1,0.052,0.021,0.389,NA,3.49,4,14,0.59615,2.49051,5.0564,0.4568,118.596,11.0692,0.091,0.037,0.59341,5.63,2,49,2,2.065,6.081,0.608,10.0016,0.017918,55.811,10.66666667,59.25925926,3,0.045,0.12,NA,NA,NA,NA,NA,NA,,
43,UNI,UNI_1,321,23.05253,-33.72581,487,14.1,987,7,112,3.9,23.9,3.7,0.052,0.017,0.373,NA,3.43,4,15,0.67308,1.54973,5.139,0.4821,91.161,10.6596,0.131,0.053,0.59542,7.72,3,56,1,2.91,6.787,0.683,9.937,0.018213,54.906,6.333333333,35.18518519,3,0.057,0.114316667,4.160050447,-3.9282691,5.971249582,1418.163681,0.591669686,1.278514755,,
44,UNI,UNI_24,409,23.05253,-33.72581,487,14.1,987,7,112,3.9,23.9,3.7,0.085,0.03,0.354,NA,2.7,4,16,0.64706,2.64937,5.9894,0.7255,88.312,8.2555,0.158,0.065,0.58861,7.13,3,59,2,3.512,7.282,0.843,8.6382,0.018508,54.031,11.66666667,64.81481481,3,0.053333333,0.18436214,NA,NA,NA,NA,NA,NA,,
45,UNI,UNI_39,33,23.05253,-33.72581,487,14.1,987,7,112,3.9,23.9,3.7,0.035,0.021,0.358,14,3.3,4,18,0.4,1.25749,4.6806,0.4766,59.88,9.8208,0.185,0.075,0.59459,9.52,3,81,3,3.952,8.103,0.784,10.3355,0.018978,52.693,7.666666667,42.59259259,3,0.051333333,0.112236214,-2.244449816,-0.945687155,7.462037574,5457.280733,0.336377583,0.85415345,,
46,VAN,VAN_15,450,19.0225,-31.37083,394,17.5,821,57,52,2.7,30.8,5.8,0.097,0.031,0.391,NA,3.64,4,22,0.68041,2.48552,6.2886,0.6339,80.178,9.9205,0.218,0.096,0.55963,10.61,2,82,4,4.583,9.809,0.877,11.1847,0.020947,47.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
47,VAN,VAN_29,17,19.0225,-31.37083,394,17.5,821,57,52,2.7,30.8,5.8,0.077,0.031,0.342,19,3.93,2,15,0.5974,2.37803,6.0314,0.6423,76.711,9.3903,0.224,0.091,0.59375,10.16,3,70,3,4.615,9.252,0.843,10.9751,0.019718,50.714,7.333333333,40.74074074,3,0.054333333,0.120271193,-1.608207592,-2.615909207,10.54195327,4800.472838,0.346539532,0.989761876,,
